"","x"
"446","greek"
"447","italian"
"448","italian"
"449","greek"
"450","thai"
"451","mexican"
"452","italian"
"453","mexican"
"454","indian"
"455","russian"
"456","thai"
"457","southern_us"
"458","japanese"
"459","mexican"
"460","indian"
"461","korean"
"462","italian"
"463","southern_us"
"464","italian"
"465","mexican"
"466","southern_us"
"467","italian"
"468","italian"
"469","mexican"
"470","italian"
"471","italian"
"472","southern_us"
"473","thai"
"474","mexican"
"475","indian"
"476","indian"
"477","chinese"
"478","thai"
"479","greek"
"480","italian"
"481","italian"
"482","vietnamese"
"483","mexican"
"484","italian"
"485","italian"
"486","cajun_creole"
"487","southern_us"
"488","moroccan"
"489","indian"
"490","indian"
"491","indian"
"492","mexican"
"493","mexican"
"494","greek"
"495","italian"
"496","mexican"
"497","russian"
"498","mexican"
"499","mexican"
"500","italian"
"501","russian"
"502","thai"
"503","italian"
"504","indian"
"505","irish"
"506","mexican"
"507","chinese"
"508","italian"
"509","italian"
"510","mexican"
"511","mexican"
"512","mexican"
"513","mexican"
"514","italian"
"515","mexican"
"516","greek"
"517","italian"
"518","mexican"
"519","italian"
"520","mexican"
"521","indian"
"522","italian"
"523","moroccan"
"524","italian"
"525","thai"
"526","italian"
"527","greek"
"528","italian"
"529","greek"
"530","filipino"
"531","mexican"
"532","japanese"
"533","chinese"
"534","indian"
"535","southern_us"
"536","british"
"537","french"
"538","mexican"
"539","mexican"
"540","mexican"
"541","jamaican"
"542","greek"
"543","japanese"
"544","vietnamese"
"545","italian"
"546","indian"
"547","italian"
"548","korean"
"549","southern_us"
"550","mexican"
"551","indian"
"552","mexican"
"553","greek"
"554","mexican"
"555","thai"
"556","mexican"
"557","italian"
"558","mexican"
"559","moroccan"
"560","indian"
"561","southern_us"
"562","japanese"
"563","mexican"
"564","british"
"565","mexican"
"566","chinese"
"567","mexican"
"568","southern_us"
"569","indian"
"570","mexican"
"571","italian"
"572","indian"
"573","mexican"
"574","southern_us"
"575","greek"
"576","italian"
"577","chinese"
"578","indian"
"579","chinese"
"580","southern_us"
"581","jamaican"
"582","korean"
"583","mexican"
"584","italian"
"585","mexican"
"586","japanese"
"587","mexican"
"588","thai"
"589","spanish"
"590","italian"
"591","italian"
"592","indian"
"593","mexican"
"594","italian"
"595","italian"
"596","southern_us"
"597","thai"
"598","italian"
"599","southern_us"
"600","brazilian"
"601","japanese"
"602","greek"
"603","italian"
"604","southern_us"
"605","mexican"
"606","mexican"
"607","french"
"608","indian"
"609","indian"
"610","italian"
"611","moroccan"
"612","southern_us"
"613","chinese"
"614","cajun_creole"
"615","moroccan"
"616","french"
"617","southern_us"
"618","southern_us"
"619","chinese"
"620","italian"
"621","moroccan"
"622","italian"
"623","italian"
"624","korean"
"625","cajun_creole"
"626","southern_us"
"627","southern_us"
"628","spanish"
"629","mexican"
"630","italian"
"631","mexican"
"632","korean"
"633","spanish"
"634","cajun_creole"
"635","italian"
"636","greek"
"637","mexican"
"638","filipino"
"639","thai"
"640","italian"
"641","vietnamese"
"642","filipino"
"643","mexican"
"644","italian"
"645","chinese"
"646","italian"
"647","greek"
"648","italian"
"649","italian"
"650","british"
"651","chinese"
"652","italian"
"653","chinese"
"654","indian"
"655","italian"
"656","indian"
"657","southern_us"
"658","indian"
"659","thai"
"660","russian"
"661","indian"
"662","italian"
"663","mexican"
"664","mexican"
"665","japanese"
"666","southern_us"
"667","vietnamese"
"668","italian"
"669","vietnamese"
"670","southern_us"
"671","indian"
"672","moroccan"
"673","greek"
"674","italian"
"675","italian"
"676","mexican"
"677","irish"
"678","chinese"
"679","southern_us"
"680","mexican"
"681","mexican"
"682","mexican"
"683","italian"
"684","thai"
"685","southern_us"
"686","mexican"
"687","indian"
"688","indian"
"689","italian"
"690","mexican"
"691","greek"
"692","chinese"
"693","indian"
"694","italian"
"695","mexican"
"696","mexican"
"697","chinese"
"698","cajun_creole"
"699","korean"
"700","italian"
"701","greek"
"702","mexican"
"703","italian"
"704","mexican"
"705","italian"
"706","mexican"
"707","southern_us"
"708","mexican"
"709","italian"
"710","spanish"
"711","italian"
"712","mexican"
"713","vietnamese"
"714","chinese"
"715","mexican"
"716","italian"
"717","thai"
"718","mexican"
"719","italian"
"720","moroccan"
"721","mexican"
"722","thai"
"723","thai"
"724","italian"
"725","thai"
"726","southern_us"
"727","vietnamese"
"728","cajun_creole"
"729","mexican"
"730","japanese"
"731","korean"
"732","chinese"
"733","italian"
"734","chinese"
"735","southern_us"
"736","vietnamese"
"737","chinese"
"738","indian"
"739","indian"
"740","indian"
"741","mexican"
"742","indian"
"743","vietnamese"
"744","indian"
"745","japanese"
"746","indian"
"747","italian"
"748","mexican"
"749","russian"
"750","thai"
"751","italian"
"752","italian"
"753","mexican"
"754","mexican"
"755","italian"
"756","jamaican"
"757","vietnamese"
"758","indian"
"759","mexican"
"760","italian"
"761","italian"
"762","mexican"
"763","italian"
"764","mexican"
"765","chinese"
"766","japanese"
"767","spanish"
"768","brazilian"
"769","mexican"
"770","southern_us"
"771","italian"
"772","indian"
"773","indian"
"774","thai"
"775","mexican"
"776","southern_us"
"777","indian"
"778","italian"
"779","mexican"
"780","japanese"
"781","indian"
"782","french"
"783","mexican"
"784","southern_us"
"785","mexican"
"786","italian"
"787","italian"
"788","mexican"
"789","southern_us"
"790","japanese"
"791","thai"
"792","mexican"
"793","mexican"
"794","korean"
"795","mexican"
"796","southern_us"
"797","korean"
"798","italian"
"799","chinese"
"800","greek"
"801","cajun_creole"
"802","mexican"
"803","japanese"
"804","greek"
"805","chinese"
"806","korean"
"807","chinese"
"808","southern_us"
"809","chinese"
"810","southern_us"
"811","indian"
"812","chinese"
"813","vietnamese"
"814","italian"
"815","cajun_creole"
"816","french"
"817","cajun_creole"
"818","italian"
"819","chinese"
"820","italian"
"821","thai"
"822","chinese"
"823","greek"
"824","moroccan"
"825","mexican"
"826","indian"
"827","vietnamese"
"828","thai"
"829","mexican"
"830","vietnamese"
"831","southern_us"
"832","japanese"
"833","mexican"
"834","mexican"
"835","japanese"
"836","italian"
"837","thai"
"838","brazilian"
"839","italian"
"840","indian"
"841","mexican"
"842","southern_us"
"843","mexican"
"844","italian"
"845","chinese"
"846","italian"
"847","moroccan"
"848","chinese"
"849","italian"
"850","japanese"
"851","italian"
"852","vietnamese"
"853","indian"
"854","greek"
"855","indian"
"856","cajun_creole"
"857","thai"
"858","russian"
"859","indian"
"860","chinese"
"861","japanese"
"862","italian"
"863","mexican"
"864","cajun_creole"
"865","chinese"
"866","japanese"
"867","mexican"
"868","chinese"
"869","thai"
"870","chinese"
"871","japanese"
"872","japanese"
"873","french"
"874","indian"
"875","korean"
"876","chinese"
"877","chinese"
"878","chinese"
"879","mexican"
"880","mexican"
"881","southern_us"
"882","japanese"
"883","italian"
"884","indian"
"885","italian"
"886","mexican"
"887","japanese"
"888","mexican"
"889","greek"
"890","mexican"
"891","japanese"
"892","mexican"
"893","chinese"
"894","spanish"
"895","korean"
"896","chinese"
"897","mexican"
"898","italian"
"899","japanese"
"900","italian"
"901","italian"
"902","mexican"
"903","japanese"
"904","mexican"
"905","mexican"
"906","moroccan"
"907","moroccan"
"908","chinese"
"909","filipino"
"910","thai"
"911","japanese"
"912","indian"
"913","cajun_creole"
"914","italian"
"915","mexican"
"916","mexican"
"917","indian"
"918","indian"
"919","southern_us"
"920","cajun_creole"
"921","jamaican"
"922","mexican"
"923","japanese"
"924","mexican"
"925","korean"
"926","italian"
"927","indian"
"928","chinese"
"929","chinese"
"930","italian"
"931","italian"
"932","chinese"
"933","indian"
"934","indian"
"935","italian"
"936","italian"
"937","cajun_creole"
"938","italian"
"939","italian"
"940","mexican"
"941","mexican"
"942","korean"
"943","italian"
"944","greek"
"945","southern_us"
"946","thai"
"947","mexican"
"948","mexican"
"949","southern_us"
"950","italian"
"951","vietnamese"
"952","mexican"
"953","italian"
"954","italian"
"955","korean"
"956","mexican"
"957","thai"
"958","italian"
"959","chinese"
"960","italian"
"961","indian"
"962","italian"
"963","italian"
"964","indian"
"965","thai"
"966","southern_us"
"967","mexican"
"968","chinese"
"969","mexican"
"970","indian"
"971","mexican"
"972","indian"
"973","italian"
"974","cajun_creole"
"975","italian"
"976","moroccan"
"977","italian"
"978","mexican"
"979","southern_us"
"980","southern_us"
"981","italian"
"982","mexican"
"983","italian"
"984","mexican"
"985","chinese"
"986","indian"
"987","brazilian"
"988","moroccan"
"989","mexican"
"990","greek"
"991","italian"
"992","chinese"
"993","mexican"
"994","chinese"
"995","thai"
"996","indian"
"997","mexican"
"998","mexican"
"999","mexican"
"1000","indian"
"1001","mexican"
"1002","cajun_creole"
"1003","southern_us"
"1004","cajun_creole"
"1005","italian"
"1006","southern_us"
"1007","korean"
"1008","greek"
"1009","mexican"
"1010","japanese"
"1011","japanese"
"1012","mexican"
"1013","thai"
"1014","italian"
"1015","mexican"
"1016","italian"
"1017","italian"
"1018","italian"
"1019","thai"
"1020","mexican"
"1021","greek"
"1022","korean"
"1023","vietnamese"
"1024","indian"
"1025","mexican"
"1026","italian"
"1027","mexican"
"1028","italian"
"1029","cajun_creole"
"1030","indian"
"1031","mexican"
"1032","mexican"
"1033","italian"
"1034","chinese"
"1035","italian"
"1036","mexican"
"1037","italian"
"1038","vietnamese"
"1039","mexican"
"1040","thai"
"1041","indian"
"1042","indian"
"1043","french"
"1044","mexican"
"1045","moroccan"
"1046","mexican"
"1047","mexican"
"1048","indian"
"1049","thai"
"1050","mexican"
"1051","indian"
"1052","greek"
"1053","thai"
"1054","chinese"
"1055","chinese"
"1056","southern_us"
"1057","italian"
"1058","italian"
"1059","japanese"
"1060","chinese"
"1061","mexican"
"1062","indian"
"1063","italian"
"1064","mexican"
"1065","mexican"
"1066","japanese"
"1067","italian"
"1068","italian"
"1069","italian"
"1070","chinese"
"1071","italian"
"1072","irish"
"1073","southern_us"
"1074","brazilian"
"1075","mexican"
"1076","italian"
"1077","italian"
"1078","french"
"1079","mexican"
"1080","italian"
"1081","mexican"
"1082","southern_us"
"1083","vietnamese"
"1084","southern_us"
"1085","italian"
"1086","thai"
"1087","mexican"
"1088","mexican"
"1089","italian"
"1090","chinese"
"1091","french"
"1092","vietnamese"
"1093","thai"
"1094","mexican"
"1095","mexican"
"1096","greek"
"1097","chinese"
"1098","mexican"
"1099","italian"
"1100","italian"
"1101","chinese"
"1102","greek"
"1103","italian"
"1104","spanish"
"1105","italian"
"1106","southern_us"
"1107","indian"
"1108","mexican"
"1109","moroccan"
"1110","southern_us"
"1111","greek"
"1112","spanish"
"1113","chinese"
"1114","mexican"
"1115","mexican"
"1116","italian"
"1117","mexican"
"1118","southern_us"
"1119","moroccan"
"1120","greek"
"1121","greek"
"1122","indian"
"1123","mexican"
"1124","southern_us"
"1125","mexican"
"1126","japanese"
"1127","french"
"1128","indian"
"1129","southern_us"
"1130","italian"
"1131","mexican"
"1132","korean"
"1133","greek"
"1134","thai"
"1135","mexican"
"1136","indian"
"1137","italian"
"1138","southern_us"
"1139","mexican"
"1140","thai"
"1141","mexican"
"1142","mexican"
"1143","mexican"
"1144","mexican"
"1145","italian"
"1146","chinese"
"1147","italian"
"1148","moroccan"
"1149","italian"
"1150","mexican"
"1151","italian"
"1152","italian"
"1153","southern_us"
"1154","italian"
"1155","italian"
"1156","japanese"
"1157","mexican"
"1158","chinese"
"1159","italian"
"1160","brazilian"
"1161","mexican"
"1162","chinese"
"1163","chinese"
"1164","italian"
"1165","mexican"
"1166","thai"
"1167","chinese"
"1168","chinese"
"1169","russian"
"1170","italian"
"1171","thai"
"1172","chinese"
"1173","thai"
"1174","british"
"1175","mexican"
"1176","greek"
"1177","italian"
"1178","indian"
"1179","korean"
"1180","japanese"
"1181","italian"
"1182","italian"
"1183","southern_us"
"1184","mexican"
"1185","chinese"
"1186","thai"
"1187","italian"
"1188","korean"
"1189","italian"
"1190","indian"
"1191","moroccan"
"1192","chinese"
"1193","mexican"
"1194","mexican"
"1195","irish"
"1196","filipino"
"1197","italian"
"1198","mexican"
"1199","french"
"1200","cajun_creole"
"1201","southern_us"
"1202","indian"
"1203","thai"
"1204","chinese"
"1205","italian"
"1206","korean"
"1207","mexican"
"1208","indian"
"1209","italian"
"1210","southern_us"
"1211","vietnamese"
"1212","mexican"
"1213","vietnamese"
"1214","chinese"
"1215","thai"
"1216","italian"
"1217","mexican"
"1218","italian"
"1219","jamaican"
"1220","indian"
"1221","vietnamese"
"1222","southern_us"
"1223","chinese"
"1224","italian"
"1225","moroccan"
"1226","vietnamese"
"1227","southern_us"
"1228","italian"
"1229","italian"
"1230","southern_us"
"1231","korean"
"1232","chinese"
"1233","italian"
"1234","japanese"
"1235","italian"
"1236","italian"
"1237","mexican"
"1238","indian"
"1239","thai"
"1240","italian"
"1241","indian"
"1242","italian"
"1243","japanese"
"1244","jamaican"
"1245","cajun_creole"
"1246","jamaican"
"1247","mexican"
"1248","vietnamese"
"1249","southern_us"
"1250","vietnamese"
"1251","korean"
"1252","cajun_creole"
"1253","thai"
"1254","mexican"
"1255","southern_us"
"1256","vietnamese"
"1257","italian"
"1258","thai"
"1259","moroccan"
"1260","moroccan"
"1261","italian"
"1262","chinese"
"1263","thai"
"1264","moroccan"
"1265","southern_us"
"1266","italian"
"1267","southern_us"
"1268","vietnamese"
"1269","mexican"
"1270","italian"
"1271","mexican"
"1272","spanish"
"1273","french"
"1274","italian"
"1275","thai"
"1276","greek"
"1277","japanese"
"1278","mexican"
"1279","italian"
"1280","mexican"
"1281","mexican"
"1282","southern_us"
"1283","mexican"
"1284","italian"
"1285","southern_us"
"1286","japanese"
"1287","southern_us"
"1288","italian"
"1289","indian"
"1290","jamaican"
"1291","mexican"
"1292","mexican"
"1293","indian"
"1294","korean"
"1295","moroccan"
"1296","italian"
"1297","jamaican"
"1298","chinese"
"1299","mexican"
"1300","mexican"
"1301","mexican"
"1302","italian"
"1303","mexican"
"1304","italian"
"1305","thai"
"1306","vietnamese"
"1307","mexican"
"1308","indian"
"1309","greek"
"1310","mexican"
"1311","vietnamese"
"1312","thai"
"1313","mexican"
"1314","italian"
"1315","indian"
"1316","thai"
"1317","filipino"
"1318","mexican"
"1319","mexican"
"1320","italian"
"1321","chinese"
"1322","filipino"
"1323","italian"
"1324","italian"
"1325","british"
"1326","italian"
"1327","mexican"
"1328","thai"
"1329","cajun_creole"
"1330","vietnamese"
"1331","spanish"
"1332","mexican"
"1333","cajun_creole"
"1334","korean"
"1335","indian"
"1336","korean"
"1337","italian"
"1338","mexican"
"1339","mexican"
"1340","southern_us"
"1341","filipino"
"1342","mexican"
"1343","mexican"
"1344","mexican"
"1345","italian"
"1346","italian"
"1347","italian"
"1348","chinese"
"1349","indian"
"1350","greek"
"1351","mexican"
"1352","chinese"
"1353","mexican"
"1354","indian"
"1355","japanese"
"1356","italian"
"1357","chinese"
"1358","italian"
"1359","italian"
"1360","thai"
"1361","mexican"
"1362","indian"
"1363","mexican"
"1364","chinese"
"1365","italian"
"1366","japanese"
"1367","vietnamese"
"1368","spanish"
"1369","italian"
"1370","french"
"1371","russian"
"1372","italian"
"1373","italian"
"1374","spanish"
"1375","mexican"
"1376","greek"
"1377","japanese"
"1378","thai"
"1379","mexican"
"1380","mexican"
"1381","indian"
"1382","vietnamese"
"1383","chinese"
"1384","southern_us"
"1385","chinese"
"1386","korean"
"1387","japanese"
"1388","chinese"
"1389","italian"
"1390","southern_us"
"1391","thai"
"1392","korean"
"1393","chinese"
"1394","chinese"
"1395","italian"
"1396","mexican"
"1397","mexican"
"1398","southern_us"
"1399","mexican"
"1400","irish"
"1401","italian"
"1402","indian"
"1403","italian"
"1404","italian"
"1405","italian"
"1406","indian"
"1407","italian"
"1408","indian"
"1409","italian"
"1410","french"
"1411","italian"
"1412","filipino"
"1413","mexican"
"1414","mexican"
"1415","southern_us"
"1416","chinese"
"1417","mexican"
"1418","southern_us"
"1419","mexican"
"1420","korean"
"1421","thai"
"1422","indian"
"1423","italian"
"1424","thai"
"1425","greek"
"1426","italian"
"1427","italian"
"1428","italian"
"1429","thai"
"1430","korean"
"1431","italian"
"1432","korean"
"1433","southern_us"
"1434","cajun_creole"
"1435","thai"
"1436","mexican"
"1437","spanish"
"1438","greek"
"1439","mexican"
"1440","british"
"1441","italian"
"1442","mexican"
"1443","filipino"
"1444","indian"
"1445","italian"
"1446","indian"
"1447","korean"
"1448","mexican"
"1449","southern_us"
"1450","indian"
"1451","italian"
"1452","chinese"
"1453","mexican"
"1454","italian"
"1455","cajun_creole"
"1456","thai"
"1457","southern_us"
"1458","mexican"
"1459","southern_us"
"1460","italian"
"1461","italian"
"1462","indian"
"1463","cajun_creole"
"1464","greek"
"1465","indian"
"1466","italian"
"1467","italian"
"1468","mexican"
"1469","italian"
"1470","mexican"
"1471","jamaican"
"1472","irish"
"1473","cajun_creole"
"1474","korean"
"1475","southern_us"
"1476","italian"
"1477","mexican"
"1478","indian"
"1479","japanese"
"1480","mexican"
"1481","indian"
"1482","italian"
"1483","mexican"
"1484","vietnamese"
"1485","southern_us"
"1486","greek"
"1487","italian"
"1488","italian"
"1489","mexican"
"1490","mexican"
"1491","italian"
"1492","chinese"
"1493","mexican"
"1494","italian"
"1495","vietnamese"
"1496","italian"
"1497","indian"
"1498","cajun_creole"
"1499","mexican"
"1500","indian"
"1501","russian"
"1502","mexican"
"1503","chinese"
"1504","vietnamese"
"1505","italian"
"1506","indian"
"1507","mexican"
"1508","italian"
"1509","mexican"
"1510","southern_us"
"1511","cajun_creole"
"1512","cajun_creole"
"1513","chinese"
"1514","italian"
"1515","indian"
"1516","french"
"1517","chinese"
"1518","mexican"
"1519","chinese"
"1520","vietnamese"
"1521","vietnamese"
"1522","mexican"
"1523","thai"
"1524","italian"
"1525","mexican"
"1526","indian"
"1527","italian"
"1528","chinese"
"1529","italian"
"1530","chinese"
"1531","italian"
"1532","french"
"1533","chinese"
"1534","chinese"
"1535","indian"
"1536","italian"
"1537","french"
"1538","greek"
"1539","greek"
"1540","italian"
"1541","irish"
"1542","indian"
"1543","chinese"
"1544","vietnamese"
"1545","cajun_creole"
"1546","mexican"
"1547","chinese"
"1548","southern_us"
"1549","italian"
"1550","italian"
"1551","italian"
"1552","italian"
"1553","mexican"
"1554","mexican"
"1555","vietnamese"
"1556","mexican"
"1557","cajun_creole"
"1558","mexican"
"1559","filipino"
"1560","italian"
"1561","korean"
"1562","chinese"
"1563","indian"
"1564","indian"
"1565","italian"
"1566","mexican"
"1567","mexican"
"1568","vietnamese"
"1569","italian"
"1570","indian"
"1571","indian"
"1572","mexican"
"1573","southern_us"
"1574","japanese"
"1575","indian"
"1576","filipino"
"1577","thai"
"1578","mexican"
"1579","thai"
"1580","mexican"
"1581","korean"
"1582","thai"
"1583","cajun_creole"
"1584","korean"
"1585","indian"
"1586","southern_us"
"1587","mexican"
"1588","italian"
"1589","southern_us"
"1590","italian"
"1591","southern_us"
"1592","italian"
"1593","indian"
"1594","italian"
"1595","chinese"
"1596","mexican"
"1597","chinese"
"1598","british"
"1599","french"
"1600","italian"
"1601","mexican"
"1602","greek"
"1603","italian"
"1604","chinese"
"1605","japanese"
"1606","chinese"
"1607","mexican"
"1608","italian"
"1609","thai"
"1610","japanese"
"1611","cajun_creole"
"1612","indian"
"1613","southern_us"
"1614","italian"
"1615","italian"
"1616","mexican"
"1617","italian"
"1618","indian"
"1619","indian"
"1620","italian"
"1621","italian"
"1622","moroccan"
"1623","italian"
"1624","indian"
"1625","thai"
"1626","chinese"
"1627","chinese"
"1628","indian"
"1629","mexican"
"1630","mexican"
"1631","italian"
"1632","indian"
"1633","greek"
"1634","spanish"
"1635","chinese"
"1636","japanese"
"1637","italian"
"1638","korean"
"1639","chinese"
"1640","mexican"
"1641","italian"
"1642","mexican"
"1643","southern_us"
"1644","russian"
"1645","mexican"
"1646","italian"
"1647","italian"
"1648","indian"
"1649","vietnamese"
"1650","thai"
"1651","mexican"
"1652","spanish"
"1653","mexican"
"1654","indian"
"1655","indian"
"1656","mexican"
"1657","thai"
"1658","italian"
"1659","japanese"
"1660","italian"
"1661","italian"
"1662","italian"
"1663","french"
"1664","japanese"
"1665","italian"
"1666","french"
"1667","indian"
"1668","moroccan"
"1669","mexican"
"1670","mexican"
"1671","greek"
"1672","southern_us"
"1673","indian"
"1674","spanish"
"1675","thai"
"1676","italian"
"1677","italian"
"1678","mexican"
"1679","italian"
"1680","italian"
"1681","indian"
"1682","italian"
"1683","indian"
"1684","indian"
"1685","mexican"
"1686","mexican"
"1687","italian"
"1688","chinese"
"1689","italian"
"1690","korean"
"1691","mexican"
"1692","mexican"
"1693","greek"
"1694","greek"
"1695","greek"
"1696","cajun_creole"
"1697","mexican"
"1698","jamaican"
"1699","thai"
"1700","indian"
"1701","italian"
"1702","cajun_creole"
"1703","mexican"
"1704","mexican"
"1705","japanese"
"1706","vietnamese"
"1707","italian"
"1708","southern_us"
"1709","mexican"
